"Service Items","Actual 09-2024","Actual 10-2024","Actual 11-2024","Actual 12-2024","Actual 01-2025","Actual 02-2025","Actual 03-2025","Actual 04-2025","Actual 05-2025","Actual 06-2025","Actual 07-2025","Actual 08-2025","Forecasted 09-2025","Forecasted 10-2025","Forecasted 11-2025","Forecasted 12-2025","Forecasted 01-2026","Forecasted 02-2026","Forecasted 03-2026","Forecasted 04-2026","Forecasted 05-2026","Forecasted 06-2026","Forecasted 07-2026","Forecasted 08-2026","Total"
"Secrets Manager - API Call","0.14","0.09","0.1","0.04","-831.6","-730.22","-886.7","-887.68","-907.93","-895.76","0.03","0.04","121.89","215.63","281.33","371.92","459.04","542.86","623.55","701.24","776.1","848.25","917.82","984.94","6844.57"
"RDS - Transfer","0.06","0.06","0.06","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.24"
"CloudFront - HTTP Requests","0.02","0.02","0.03","0.01","0.0","-0.0","-0.0","0.0","0.0","0.0","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.18"
"Step Functions - Data Transfer","0.4","0.26","0.01","0.01","0.0","0.01","0.01","0.0","0.0","0.0","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.0","0.0","0.0","0.0","0.0","0.01","0.01","0.07"
"SQS - Data Transfer","0.03","0.04","0.03","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.12"
"CloudFront - Lambda Edge Requests","0.01","0.01","0.0","0.0","0.0","0.0","-0.0","-0.0","0.0","0.0","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.12"
"API Gateway - API Call","0.02","0.02","0.03","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.01","0.01","0.01","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04"
"WAF - WebACL","0.0","0.0","0.0","0.0","-14.42","-14.44","-14.46","-14.43","-14.42","-16.64","0.0","0.0","-2.87","-2.85","-2.81","-3.68","-4.75","-5.7","-6.23","-6.17","-5.51","-4.4","-3.11","-1.97","-50.05"
"WAF - Rule","0.0","0.0","0.0","0.0","-10.09","-10.1","-10.12","-10.1","-10.09","-11.09","0.0","0.0","-1.96","-1.92","-1.9","-2.51","-3.26","-3.91","-4.27","-4.22","-3.75","-2.97","-2.07","-1.28","-34.02"
"WAF - Request","0.0","0.0","0.0","0.0","-96.07","-87.95","-109.31","-112.08","-126.33","-114.86","0.0","0.0","-21.02","-20.98","-19.69","-25.61","-33.6","-40.98","-45.51","-45.73","-41.38","-33.42","-23.83","-15.01","-366.76"
"Virtual Private Cloud - VPN Connection","0.0","0.0","0.0","0.0","-267.84","-241.92","-267.84","-259.2","-267.84","-259.2","0.0","0.0","-49.03","-47.36","-46.94","-62.79","-81.91","-98.45","-107.34","-105.63","-93.25","-73.06","-50.04","-30.0","-845.8"
"Virtual Private Cloud - VPC Endpoint Transfer","158.03","121.64","56.57","6.76","4.18","0.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Virtual Private Cloud - VPC Endpoint","0.0","0.0","0.0","0.0","-10987.26","-9396.15","-9527.48","-9393.66","-9658.93","-9971.76","0.0","0.0","-2090.75","-2308.64","-2630.65","-3510.34","-4498.54","-5379.25","-5967.71","-6159.69","-5959.06","-5476.59","-4899.97","-4443.36","-53324.55"
"Virtual Private Cloud - Other","0.39","0.28","0.0","29.13","-326.97","-304.67","-378.44","-2269.27","-3753.74","-5356.07","0.0","0.0","1.3","77.0","90.96","39.44","0.0","4.34","14.64","23.82","31.99","39.24","45.68","51.38","419.79"
"Tax","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Step Functions - Other","0.0","0.0","0.0","0.0","-29.13","-25.09","-20.87","-23.82","-26.62","-29.24","0.0","0.0","-9.73","-9.74","-9.82","-11.31","-13.12","-14.69","-15.56","-15.43","-14.28","-12.39","-10.22","-8.32","-144.61"
"SQS - Data Transfer","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Secrets Manager - Secret","87.22","87.12","89.79","80.6","-0.0","-0.0","-0.0","0.0","-34.25","-89.61","0.0","0.0","13.96","19.4","20.87","17.98","11.51","3.19","0.0","0.0","0.0","0.0","0.0","6.02","92.93"
"Savings Plan - Unused","0.0","0.0","0.0","0.0","0.0","1185.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Savings Plan - Other","0.0","0.0","0.0","0.0","-357120.0","-231840.0","-464630.0","-570225.0","-566928.0","-548640.0","0.0","0.0","-110748.32","-128091.54","-141381.95","-172211.51","-222681.75","-273177.89","-313349.28","-335704.32","-337605.36","-321964.08","-296450.91","-271430.2","-2924797.11"
"Savings Plan - EDP Credits","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"S3 - Standard Infrequent Access Overhead","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"S3 - Reduced Redundancy","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"S3 - Glacier Deep Archive Overhead","3.85","4.36","5.29","2.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"S3 - Glacier Deep Archive","716.93","911.14","1449.64","846.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Route 53 - Query","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-13.49","-15.56","-14.56","0.0","0.0","-1.21","-1.18","-1.19","-1.2","-1.26","-1.75","-2.23","-2.59","-2.71","-2.56","-2.19","-1.7","-21.77"
"Route 53 - Other","280.8","290.15","280.79","267.84","-18.59","-19.01","-20.09","-6.21","-273.88","-265.19","0.0","0.0","46.62","65.48","69.68","58.09","33.82","3.37","0.0","0.0","0.0","0.0","0.0","18.15","295.21"
"Redshift - Storage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"RDS - Other","19073.42","19830.15","19992.5","18351.63","-0.0","0.0","0.0","-0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"RDS - GP2 Storage","12.56","12.56","15.65","14.15","0.0","-0.0","0.0","-0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"RDS - Data Transfer","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"QuickSight - Other","0.0","0.0","0.0","0.0","-51.84","-51.84","-51.84","-51.84","-51.84","-51.84","0.0","0.0","-9.64","-9.29","-9.25","-12.42","-16.23","-19.5","-21.25","-20.87","-18.38","-14.34","-9.76","-5.78","-166.71"
"OpenSearch - Other","0.0","0.0","0.0","4.58","-0.0","-0.0","-0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MQ - Other","0.0","0.0","0.0","0.0","-2047.91","-1868.03","-2063.83","-1997.69","-2062.23","-1998.47","0.0","0.0","-374.04","-361.54","-358.86","-482.72","-632.39","-762.83","-834.83","-825.41","-733.98","-582.38","-409.03","-258.57","-6616.58"
"Managed Streaming for Kafka - Other","0.0","0.0","0.0","0.0","-4173.41","-6312.43","-4044.38","-3935.52","-4045.55","-4442.55","0.0","0.0","-929.92","-1009.17","-1172.86","-1585.7","-2038.32","-2430.4","-2679.02","-2740.71","-2622.97","-2382.16","-2108.31","-1900.85","-23600.39"
"Kinesis Firehose","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Glue - Job","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Glue - Job","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Glue - Crawler","0.0","0.0","0.0","0.0","-12.45","-11.48","-12.83","-12.19","-12.87","-12.65","0.0","0.0","-2.35","-2.28","-2.25","-2.99","-3.9","-4.7","-5.14","-5.07","-4.49","-3.54","-2.44","-1.48","-40.63"
"Glacier - Transfer","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Glacier - Transfer","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ElastiCache - Reserved Nodes Upfront Fee","0.0","0.0","0.0","0.0","-1594.69","-4480.75","-4960.83","-4800.8","-4960.83","-4800.8","0.0","0.0","2953.82","-860.15","-800.47","-952.27","-1287.75","-1613.76","-1831.09","-1871.0","-1713.44","-1392.37","-986.53","-598.23","-10953.24"
"EKS - Other","0.0","0.0","0.0","0.0","-1395.66","-1016.06","-1092.04","-1088.64","-892.21","-622.08","0.0","0.0","-155.06","-139.38","-160.07","-231.0","-305.84","-361.46","-380.24","-354.77","-289.77","-200.82","-110.16","-55.31","-2743.88"
"ECR - Other","0.0","0.0","0.0","0.0","-3632.1","-3868.87","-4039.04","-4221.84","-3508.46","-2789.3","0.0","0.0","-625.93","-565.77","-563.76","-804.04","-1081.39","-1309.46","-1416.39","-1363.97","-1157.74","-845.4","-503.97","-227.3","-10465.12"
"EC2 Container Service - Savings Plan Negation Credits","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"EC2 Container Service - Other","0.0","0.0","0.0","0.0","-2.38","-2.15","-2.38","-2.3","-157.57","-150.91","0.0","0.0","-1.52","-1.53","-1.55","-1.62","-1.89","-2.16","-2.39","-2.5","-2.46","-2.28","-2.0","-1.69","-23.59"
"EC2 Container Service - Fargate Data Transfer","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"EC2 - Unused Capacity Reservation","5086.49","5626.96","3681.28","1180.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"EC2 - Savings Plan Negation Credits","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Direct Connect - Data Transfer","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DevOps Guru","0.01","0.01","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DataSync - Other","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DataSync","3.15","131.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cognito - Essentials","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CodeBuild - Other","0.0","0.0","0.0","0.0","-5.91","-1.37","-1.27","-1.27","-0.06","-0.06","0.0","0.0","-0.19","-0.18","-0.28","-0.38","-0.46","-0.48","-0.43","-0.33","-0.2","-0.06","-0.01","0.0","-3.0"
"CloudFront - Other","0.0","0.0","0.0","0.0","-0.01","0.0","-0.07","-0.36","-0.83","-0.23","0.0","0.0","-0.04","-0.04","-0.04","-0.04","-0.04","-0.06","-0.07","-0.08","-0.08","-0.08","-0.06","-0.05","-0.68"
"CloudFront - Lambda Edge Compute","0.0","0.0","0.0","0.0","0.0","-0.0","-0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CloudFormation","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cloud Map - Other","0.0","0.0","0.0","0.0","0.0","-0.03","-0.22","-0.22","-0.22","-0.22","0.0","0.0","-0.04","-0.04","-0.04","-0.04","-0.05","-0.06","-0.07","-0.08","-0.08","-0.07","-0.05","-0.04","-0.66"
"Cloud Map - Lookup Requests","0.0","0.0","0.0","0.0","0.0","-0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Certificate Manager - Other","0.0","0.0","0.0","0.0","-288.0","-288.0","-288.0","-288.0","-288.0","-288.0","0.0","0.0","-53.5","-51.54","-51.27","-68.88","-90.01","-108.21","-117.89","-115.8","-101.95","-79.51","-54.05","-31.97","-924.58"
"Certificate Manager - Certificate","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AWS X-Ray","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AWS IoT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AWS Data Transfer","0.0","0.0","0.0","0.0","-44127.53","-48224.44","-48827.96","-22660.67","-25256.87","-17734.84","0.0","0.0","-5274.57","-5483.0","-7444.27","-10833.39","-14136.84","-16558.25","-17547.89","-16948.83","-15037.95","-12450.84","-10010.56","-9663.57","-141389.96"
"AWS CodePipeline","1.56","0.0","0.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Athena - Other","0.0","0.0","0.0","0.0","-263.95","-904.26","-672.49","-764.05","-734.38","-729.53","0.0","0.0","-134.6","-132.49","-123.46","-155.66","-208.84","-258.5","-289.52","-291.97","-263.75","-211.15","-147.11","-87.8","-2304.85"
"API Gateway - Other","0.0","0.0","0.0","0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"API Gateway - Data Transfer","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Amazon SimpleDB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Amazon Simple Workflow Service","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Amazon GuardDuty","3866.77","4789.53","4915.64","3881.18","-0.0","0.0","0.0","0.0","-0.0","-0.0","1232.0","0.0","851.29","986.6","961.86","783.69","499.84","186.36","0.0","0.0","0.0","0.0","278.71","592.18","5140.53"
"Other","-18184.79","-24649.86","-38301.34","-36571.31","-22541.44","-15304.19","-49932.34","-48321.62","-49932.34","-48462.35","-50097.33","-49109.35","-36316.64","-35571.37","-35380.46","-35987.36","-37419.9","-39482.82","-41810.13","-43963.2","-45548.31","-46322.13","-46256.98","-45548.25","-489607.55"
